"","Rec_area","Location","visit_date","Year","Month","Day","Ec_per100mL","Mc_ugL","month_day","sample_count"
"280","Moose Creek Regional Park","",2022-09-01,"2022",9,1,"2.81","0.099","09-01",101
"281","Fort Campground Beach","",2022-07-18,"2022",7,18,"3.72","0.099","07-18",101
"282","Pasqua Lake Beach","pasqua lake",2022-07-11,"2022",7,11,"33.63","0.099","07-11",2
"283","Echo Provincial Park Beach","echo lake",2022-06-27,"2022",6,27,"2.02","0.099","06-27",56
"284","Echo Provincial Park Beach","echo lake",2022-07-05,"2022",7,5,"5.04","0.099","07-05",56
"285","Echo Provincial Park Beach","echo lake",2022-07-11,"2022",7,11,"3.17","0.099","07-11",56
"286","Echo Provincial Park Beach","echo lake",2022-07-18,"2022",7,18,"1.55","0.099","07-18",56
"287","Echo Provincial Park Beach","echo lake",2022-07-26,"2022",7,26,"2.25","0.099","07-26",56
"288","Echo Provincial Park Beach","echo lake",2022-08-03,"2022",8,3,"2.44","0.099","08-03",56
"289","Echo Provincial Park Beach","echo lake",2022-08-08,"2022",8,8,"4.51","0.099","08-08",56
"290","Echo Provincial Park Beach","echo lake",2022-08-16,"2022",8,16,"9.95","0.099","08-16",56
"291","Echo Provincial Park Beach","echo lake",2022-08-24,"2022",8,24,"2.29","0.099","08-24",56
"292","Echo Provincial Park Beach","echo lake",2022-08-31,"2022",8,31,"2.44","0.099","08-31",56
"293","Katepwa Beach","katepwa lake",2022-06-27,"2022",6,27,"0.15","0.099","06-27",40
"294","Katepwa Beach","katepwa lake",2022-07-05,"2022",7,5,"0.7","0.099","07-05",40
"295","Katepwa Beach","katepwa lake",2022-07-11,"2022",7,11,"0.64","0.099","07-11",40
"296","Katepwa Beach","katepwa lake",2022-07-18,"2022",7,18,"0.78","0.099","07-18",40
"297","Katepwa Beach","katepwa lake",2022-07-26,"2022",7,26,"11.16","0.099","07-26",40
"298","Katepwa Beach","katepwa lake",2022-08-03,"2022",8,3,"7.73","0.099","08-03",40
"299","Katepwa Beach","katepwa lake",2022-08-08,"2022",8,8,"1.7","0.099","08-08",40
"300","Katepwa Beach","katepwa lake",2022-08-16,"2022",8,16,"0.15","0.099","08-16",40
"301","Katepwa Beach","katepwa lake",2022-08-24,"2022",8,24,"0","0.099","08-24",40
"302","B-Say-Tah Beach","echo lake",2022-06-27,"2022",6,27,"2.47","0.099","06-27",56
"303","B-Say-Tah Beach","echo lake",2022-07-26,"2022",7,26,"0.15","0.099","07-26",56
"304","B-Say-Tah Beach","echo lake",2022-08-31,"2022",8,31,"0","0.099","08-31",56
"305","Echo Bible Camp Beach","",2022-08-03,"2022",8,3,"8.65","0.099","08-03",101
"306","Camp Monahan","",2022-08-08,"2022",8,8,"0.43","0.099","08-08",101
"307","Moosomin Regional Park","",2022-06-28,"2022",6,28,"8.9","0.099","06-28",101
"308","Moosomin Regional Park","",2022-08-30,"2022",8,30,"102.33","0.099","08-30",101
"309","Circle Square Ranch Beach","",2022-08-30,"2022",8,30,"10.43","0.099","08-30",101
"310","Welwyn Centennial Regional Park","",2022-08-30,"2022",8,30,"2.05","0.099","08-30",101
"311","Buffalo Pound Beach","buffalo pound lake",2022-06-27,"2022",6,27,"2.06","0.099","06-27",9
