Rec_area,Location,Date,Ec_per100mL,Mc_ugL
Echo Provincial Park Beach, Echo Lake,2019-08-08,2.03,0.099
Echo Provincial Park Beach, Echo Lake,2019-08-15,22.83,0.099
Echo Provincial Park Beach, Echo Lake,2019-08-22,12.9,0.099
Echo Provincial Park Beach, Echo Lake,2019-08-29,5.27,0.099
Etter's Beach, Last Mountain Lake,2019-07-16,2.78,0.099
Greenwater Beach, Greenwater Lake,2019-07-03,2.57,0.099
Jumbo Beach, Jumbo Lake,2019-08-20,41.08,0.099
Katepwa Beach, Katepwa Lake,2019-06-27,0.32,0.099
Katepwa Beach, Katepwa Lake,2019-07-04,0.97,0.099
Katepwa Beach, Katepwa Lake,2019-07-11,13.37,0.099
Katepwa Beach, Katepwa Lake,2019-07-18,5.13,0.099
Katepwa Beach, Katepwa Lake,2019-07-23,9.34,0.099
Katepwa Beach, Katepwa Lake,2019-08-01,0.55,0.099
Katepwa Beach, Katepwa Lake,2019-08-08,0.74,0.099
Katepwa Beach, Katepwa Lake,2019-08-15,64.64,0.099
Katepwa Beach, Katepwa Lake,2019-08-22,5.15,0.099
Katepwa Beach, Katepwa Lake,2019-08-29,9.84,0.099
Kevin Misfeldt Beach Area Beach, Blackstrap Lake,2019-07-15,2.78,0.099
Kimball Lake Campground Beach, Kimball Lake,2019-08-20,6.3,0.099
Kipabiskau Beach, Kipabiskau Lake,2019-07-04,0.78,0.099
Kipabiskau Beach, Kipabiskau Lake,2019-07-16,1.22,0.099
Lady Beach, Lady Lake,2019-07-08,1.97,0.099
Last Mountain Lake Regional Park Main Beach Area,Last Mountain Lake,2019-06-26,5.02,0.099
Last Mountain Lake Regional Park Main Beach Area,Last Mountain Lake,2019-07-25,NA,NA
Last Mountain Lake Regional Park Main Beach Area,Last Mountain Lake,2019-07-31,6.21,0.099
Last Mountain Lake Regional Park Main Beach Area,Last Mountain Lake,2019-08-20,4.3,0.099
Little Bear Beach, Little Bear Lake,2019-07-22,4.05,0.099
Lumsden Beach, Last Mountain Lake,2019-06-24,4.09,0.099
Lumsden Beach, Last Mountain Lake,2019-07-19,63.82,0.099
Lumsden Beach, Last Mountain Lake,2019-08-21,8.94,0.099
Marean Lake Beach, Marean Lake,2019-07-25,2.78,0.099
Melville Beach, Crooked Lake,2019-08-14,2.2,0.099
Memorial Lake Regional Park Beach,Memorial Lake,2019-08-19,0.52,0.099
Meota Regional Park Public Beach, Jackfish Lake,2019-07-09,5.02,0.099
Michele Pt. Campground Beach, Dore Lake,2019-07-17,0.32,0.099
Ministik Beach, Madge lake,2019-08-20,1.55,0.099
Ministikwan Lake Campground/Picnic Beach, Ministikwan Lake,2019-08-20,1.22,0.099
Moose Creek Regional Park Beach, Alameda Dam,2019-08-27,0.32,0.099
Moose Mountain Provincial Park Beach,Kenosee Lake,2019-08-14, NA,0.099
Moosomin Regional Park Beach, Moosomin Lake,2019-06-26,7.86,0.099
Moosomin Regional Park Beach, Moosomin Lake,2019-07-25,19.75,0.099
Napatak Beach (Subdivision B), Lac La Ronge,2019-07-30,1.55,2.5
Nickle Lake Regional Park Beach, Nickle Lake,2019-07-30,16.51,2.5
Pike Lake Main Beach, Pike Lake,2019-06-24,0.32,2.5
Pike Lake Main Beach, Pike Lake,2019-08-14,0.32,0.099
Pinehouse Lake Beach, Pinehouse Lake,2019-07-24,7.62,0.099
Poplar Beach Resort Beach, Wakaw Lake,2019-07-09,5.08,0.099
Prairie Lake Regional Park Beach, Lake Diefenbaker,2019-07-23,2.39,0.099
Regina Beach, Last Mountain Lake,2019-06-28,25.09,0.099
Regina Beach, Last Mountain Lake,2019-07-24,9.42,0.099
Regina Beach, Last Mountain Lake,2019-08-21,236.83,0.099
Regina Beach, Last Mountain Lake,2019-08-22,41.66,0.099
Regina Beach, Last Mountain Lake,2019-08-23,13.76,0.099
Resort Village of Aquadeo Public Beach,Jackfish Lake,2019-07-09,1.17,0.099
Resort Village of Cochin Public Beach,Jackfish Lake,2019-07-09,18.65,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2019-08-06,305.84,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2019-08-13,75.56,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2019-08-14,11.87,0.099
Ruby Lake Beach, Ruby Lake,2019-07-11,0.43,0.099
Sandy Bay Campground Beach, Candle Lake,2019-07-24,5.57,0.099
Sandy Beach Campground Beach,Pierce Lake,2019-08-20,2.87,0.099
Sask Landing Provincial Park Beach (Bearpaw), Lake Diefenbaker,2019-07-16,14.94,0.099
Sask Landing Provincial Park Beach (Cottonwood), Lake Diefenbaker,2019-08-06,1.49,0.099
Saskin Beach, Fishing Lake,2019-08-21,0.15,0.099
Silver Lake Regional Park Public Beach,Silver Lake,2019-08-22,30.1,0.099
Smits Beach, Codette Lake,2019-07-24,30.56,0.099
Sorensen Beach, Last Mountain Lake,2019-06-24,10.62,0.099
Sorensen Beach, Last Mountain Lake,2019-08-06,34.31,0.099
Sorensen Beach, Last Mountain Lake,2019-08-26,23.55,0.099
Sturgeon Lake Regional Park Beach,Sturgeon Lake,2019-08-19,0.25,0.099
Suffern Lake Beach, Suffern Lake,2019-06-18,6.28,0.099
